LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1,ELLIPSE_X0,ELLIPSE_Y0,ELLIPSE_MAJOR,ELLIPSE_MINOR,ELLIPSE_THETA,ELLIPSE_ASPECTRATIO,AREA,PERIMETER,CIRCULARITY,SOLIDITY,SHAPE_INDEX
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1,Ellipse center x0,Ellipse center y0,Ellipse long axis,Ellipse short axis,Ellipse angle,Ellipse aspect ratio,Area,Perimeter,Circularity,Solidity,Shape index
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1,El. x0,El. y0,El. long axis,El. sh. axis,El. angle,El. a.r.,Area,Perim.,Circ.,Solidity,Shape index
,,,(quality),(micron),(micron),(micron),(sec),,(micron),,,(counts),(counts),(counts),(counts),(counts),(counts),,,(micron),(micron),(micron),(micron),(radians),,(micron^2),(micron),,,
ID110593,110593,0,0.8711166381835938,316.17346341805006,185.34380655805202,0.0,9.0,9,3.3749827024861534,1,,738.0436681222708,752.0,291.0,1125.0,169012.0,201.99437159214838,0.26257980498409667,1.5197609070520008,-0.020999196977193022,-0.016025549134203974,3.834133379418003,3.0017497754547535,1.5528961613687091,1.2772994640558093,35.78433701397484,22.23922627323351,0.9092085103858311,0.9914346895074941,3.7176901085380925
ID102225,102225,0,0.8287215828895569,312.2961112031577,186.2717157539753,0.0,0.0,0,2.8449786053485715,1,,877.1301775147929,930.0,335.0,1214.0,148235.0,213.27984545369964,0.2408651874196886,1.5965909608485915,-0.02667124294698691,-0.051818477552055084,3.661081562979691,2.23657781837296,1.4004966328429842,1.6369122204936346,25.42774703584833,20.727797441972466,0.7437233800478882,0.9508670520231227,4.110543181120294
ID112883,112883,0,0.8120513558387756,315.76042111810796,187.59321893791176,0.0,11.0,11,2.1620107861199003,1,,672.4239130434783,701.0,137.0,1125.0,61863.0,236.7426958477644,0.27472432495548693,1.2242705374711973,-9.492559428576794E-4,0.003126471444596663,2.3745957117117094,1.9936037471342913,1.2011961514957723,1.1911071671715483,14.684717133164616,15.347082132509197,0.783472603497491,0.9452736318407952,4.0049124327233505
ID105715,105715,0,0.8890845775604248,314.4537021656388,183.85875084915511,0.0,4.0,4,2.8708034490320333,1,,840.7904191616766,878.0,284.0,1145.0,140412.0,181.71505008041262,0.326815795263493,2.2793932452628525,-0.007599716514765453,-0.003878157086393408,2.992072475650803,2.785049530962234,1.2010814298675008,1.0743336670989267,25.891474945316673,18.928497260590845,0.9081014774601661,0.9738372093023253,3.719955467602071
ID108642,108642,0,0.8682742118835449,315.96560676088353,185.40419647254106,0.0,7.0,7,3.8611561722358645,1,,814.2516556291391,869.0,187.0,1152.0,245904.0,228.36495878142765,0.27926747182136796,1.5567475016294765,-0.0068954384268674965,-0.022321016113058943,4.220422704290819,3.5592204925856548,0.7131139784011533,1.1857716354135797,46.83651885630406,25.26548978261127,0.9220172136516473,0.9758454106280176,3.6917766396191203
ID104594,104594,0,0.688169538974762,311.1706159713258,187.6276364059967,0.0,2.0,2,2.1958824689363303,1,,659.5742574257425,667.0,253.0,947.0,66617.0,146.63808144780492,0.03888484204746981,0.3367129753981449,0.011281789290022295,0.043683914644572955,2.806703214534433,1.7484121896902256,1.2679954171316254,1.6052869175155486,15.148445042632986,16.428585536211084,0.7053059914842024,0.9201877934272298,4.221007710145517
ID103666,103666,0,0.684852123260498,310.89468214372783,186.27303567696632,0.0,1.0,1,2.4095561841556474,1,,743.1025641025641,766.0,395.0,989.0,86943.0,142.3186919542742,0.20527586620250657,1.7785588700255015,-0.004182726399616742,0.012824542426336131,2.665316773320874,2.210610069846,-1.3762701985537573,1.2056928581287745,18.239964439088734,16.268316844623662,0.8660612488016926,0.9711934156378579,3.8091723969522038
