LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1,ELLIPSE_X0,ELLIPSE_Y0,ELLIPSE_MAJOR,ELLIPSE_MINOR,ELLIPSE_THETA,ELLIPSE_ASPECTRATIO,AREA,PERIMETER,CIRCULARITY,SOLIDITY,SHAPE_INDEX
ID8547,8547,,0.8815737962722778,22.5473046600388,19.848747570862667,0.0,0.0,0,3.5097108645460344,1,,3066.4316005471956,3101.0,1258.0,4105.0,4483123.0,493.26714689582275,0.19279460311961344,2.0096031070162406,-0.053992242041287865,-0.035373825733413876,5.329632356674982,2.3530868562221023,-0.2502969114050316,2.2649535194938553,38.69835932648374,25.40772559601453,0.7533049758563144,0.9796122994652409,4.08431767634091
ID8548,8548,,0.8809436559677124,31.13602602912132,4.259117020980319,0.0,0.0,0,3.543673716600515,1,,2405.1430472388556,2426.0,809.0,3896.0,3614930.0,638.3219670237867,0.22779861508077107,1.3981541526655563,-4.5535747921694595E-4,-0.009325260615081762,4.031542537434694,3.138811674378334,0.9315933814656893,1.2844168289367575,39.45093745054023,22.689758076347143,0.9629582557706825,0.9986631016042777,3.6124446502862817
ID8549,8549,,0.8751776814460754,12.280162092758749,89.70320542322143,0.0,0.0,0,2.7694585228201882,1,,3547.5850713501645,3539.0,1490.0,5512.0,3231850.0,880.0830949510668,0.29088460674923644,1.8166549764403574,0.009698205680450038,0.016220186326735934,3.2749044947324477,2.358860539922558,0.7521299140337324,1.388341718090703,24.095703094791137,18.005238361115044,0.9340104106656669,0.9956355701036554,3.667997859123428
ID8550,8550,,0.8745068907737732,14.317525199267044,21.47403184391146,0.0,0.0,0,3.0961790913517966,1,,3410.0025951557095,3426.0,1572.0,5308.0,3941963.0,822.3350961638874,0.2441609080079632,1.6275541966749691,-7.90959102072829E-4,-0.022285009672506087,3.6038134589346766,2.6825375230573156,-1.3544718981702006,1.3434345010866329,30.11632808724306,20.271422211423065,0.920965677737695,0.993899782135076,3.6938836281560627
ID8551,8551,,0.8694421052932739,15.242621432361824,10.859032579191458,0.0,0.0,0,3.570258288164754,1,,3217.7342931937173,3338.0,810.0,4727.0,4916698.0,740.8009312405994,0.23339738098330612,1.6438856773094177,-0.016692721278099718,-0.014883995767185588,3.945370363478697,3.2624071558184946,-0.7323908726954242,1.2093433391482542,40.04507807479535,23.421814232319893,0.917313837001507,0.9831442463533223,3.701229029135071
ID8552,8552,,0.8694417476654053,31.523644118745793,43.78350191943216,0.0,0.0,0,3.1739307569906443,1,,2526.7372810675565,2492.0,1202.0,4028.0,3029558.0,544.6614364326167,0.2927743807881386,2.1012309589736073,0.006063392495871145,0.030697787672108318,4.050548383892508,2.5150464954272023,0.1765653487143305,1.610526243255192,31.647890585322934,21.206927643684622,0.8842989783492697,0.985608552631579,3.7696876812026483
ID8553,8553,,0.8681500554084778,5.175376258086395,25.135528887955047,0.0,0.0,0,2.861998161382107,1,,2762.90206185567,2848.0,862.0,4416.0,2680015.0,737.6726137895205,0.15716362969472678,1.0173938331988264,-0.011505061087179677,-0.017909341711138484,3.391807981458855,2.442684565628925,3.072700410176541,1.3885575031606903,25.732890592738595,18.954926911758385,0.9000242460911794,0.988838153221715,3.7366104789385073
ID8554,8554,,0.8665826320648193,17.15593688172374,46.863886990213615,0.0,0.0,0,3.060683801826801,1,,2348.088078291815,2373.0,983.0,3680.0,2639251.0,504.1070363311582,0.11458271172119909,0.9576976317673329,0.01528709130943562,0.0069492623224540135,3.2599691942115174,2.9066481120238845,1.0317264205973644,1.1215561941351122,29.429765588103802,19.976770738565016,0.9267147935711366,0.9937583593401694,3.6824078190935547
ID8555,8555,,0.866096556186676,21.09419864216632,40.3644396298699,0.0,0.0,0,3.594308603591229,1,,3205.3533638145004,3253.0,1412.0,4564.0,4907396.0,576.7685594160234,0.27104858423267353,2.3702236284093536,-0.016984034983958004,0.017178476611642967,4.260631970334624,3.062279597368064,-0.2814020468313558,1.3913268971247783,40.58640619911669,23.478629122478438,0.9252199537717223,0.9922530664945126,3.6853813758919545
ID8556,8556,,0.8595776557922363,11.536522759091236,49.37989687626224,0.0,0.0,0,1.8059024678933018,1,,3890.0850515463917,3934.0,1852.0,6458.0,1509353.0,923.6895378083408,0.18024198839285702,1.2863169027102583,1.8476087760801264E-4,-0.00287053389720127,1.8426006996648154,1.787438491378188,-0.7851603130182148,1.0308610386050796,10.245624987155026,11.596650281381182,0.9573774609722828,0.9923273657289002,3.622958276608315
ID8557,8557,,0.8553817272186279,7.88450814042102,37.7455461333986,0.0,0.0,0,1.8313226908930196,1,,2672.5896805896805,2666.0,1088.0,4018.0,1087744.0,727.7219067664714,0.31585533232946184,1.763099825566218,-0.007392079272568895,-0.009257347656411685,2.579113124319866,1.312522409217914,-1.4430226252730045,1.9650050210241126,10.536093736790866,12.792173717410046,0.8090973762140742,0.977941176470588,3.9409827651820075
ID8558,8558,,0.8540263175964355,25.38505963005953,90.08161230884757,0.0,0.0,0,4.047476615313437,1,,3497.2132992327365,3557.0,1498.0,5126.0,6837052.0,683.2582096029861,0.23153864825163675,1.9246098598134993,0.015170054027217232,-0.03256719711330457,4.6793081753198855,3.5464385950578583,0.38140341645728754,1.3194386565273506,51.46578118547718,26.700549640339037,0.9071686430446488,0.9928680590932247,3.721867576722863
ID8559,8559,,0.8518192768096924,1.496527776839682,86.48194439023365,0.0,0.0,0,1.5148155415991376,1,,1318.297794117647,1374.0,633.0,1905.0,358577.0,301.1127633151383,0.11763051269078835,0.9215864834125457,-0.007315772640524732,0.004916866479345547,1.7268634300144559,1.339862187045899,0.8824087175479385,1.2888366032791845,7.208906240962176,10.051393319940022,0.8966577485889738,0.9767441860465117,3.7436184509072965
